ATC code,drug,count
C09BB05,DB00178,1226031,
G04BD04,DB01062,1231647,
V03AB05,DB00860,1228224,
C10BX15,DB01076,1227562,
C10BX15,DB00790,1233226,
C10AA05,DB01076,1227562,
C10BX03,DB00381,1225161,
C10BX03,DB01076,1227562,
C10BA05,DB01076,1227562,
C10BA05,DB00973,1228279,
C10BX11,DB00381,1225161,
C10BX11,DB01076,1227562,
C10BX11,DB00790,1233226,
C10BX08,DB01076,1227562,
C10BX06,DB01076,1227562,
C10BX06,DB00178,1226031,
C10BX12,DB01076,1227562,
C10BX12,DB00790,1233226,
C10AA04,DB01095,1233970,
N06AB06,DB01104,1229904,
N06AB10,DB01175,1222538,
N05AH04,DB01224,1226639,
G01AE10,DB00482,1231958,
G01AE10,DB01098,1227117,
G01AE10,DB00695,1220619,
G01AE10,DB00669,1223922,
G01AE10,DB00795,1231643,
G01AE10,DB00887,1221960,
G01AE10,DB00808,1228423,
G01AE10,DB00436,1234016,
R03AL06,DB01409,1221974,
R03BB04,DB01409,1221974,
R03BB54,DB01409,1221974,
R03AL10,DB01409,1221974,
N02AA58,DB01551,1227159,
N02AA08,DB01551,1227159,
N02AJ02,DB01551,1227159,
N02AJ01,DB01551,1227159,
G04BD08,DB01591,1225911,
G04CA53,DB01591,1225911,
P01BA02,DB01611,1228581,
C07FB12,DB00381,1225161,
C07FB12,DB04861,1225396,
C09DX05,DB04861,1225396,
C09DX05,DB00177,1220756,
C07BB12,DB04861,1225396,
C07AB12,DB04861,1225396,
A10BD13,DB00331,1224407,
A10BD09,DB01132,1221596,
G01AE10,DB00482,1231958,
G01AE10,DB01098,1227117,
G01AE10,DB00695,1220619,
G01AE10,DB00669,1223922,
G01AE10,DB00795,1231643,
G01AE10,DB00887,1221960,
G01AE10,DB00808,1228423,
G01AE10,DB00436,1234016,
C09DX05,DB04861,1225396,
C09DX05,DB00177,1220756,
C10BX10,DB00177,1220756,
C10BX10,DB01098,1227117,
C09DA03,DB00177,1220756,
C09CA03,DB00177,1220756,
C09DX02,DB00177,1220756,
C09DX01,DB00381,1225161,
C09DX01,DB00177,1220756,
C09DB08,DB00528,1240186,
C09DB08,DB00177,1220756,
C09DB01,DB00381,1225161,
C09DB01,DB00177,1220756,
C09DX04,DB00177,1220756,
G01AE10,DB00482,1231958,
G01AE10,DB01098,1227117,
G01AE10,DB00695,1220619,
G01AE10,DB00669,1223922,
G01AE10,DB00795,1231643,
G01AE10,DB00887,1221960,
G01AE10,DB00808,1228423,
G01AE10,DB00436,1234016,
A10BD04,DB00412,1226674,
A10BD04,DB00222,1231931,
A10BB12,DB00222,1231931,
A10BD06,DB00222,1231931,
A10BD06,DB01132,1221596,
N05CD07,DB00231,1223892,
G01AE10,DB00482,1231958,
G01AE10,DB01098,1227117,
G01AE10,DB00695,1220619,
G01AE10,DB00669,1223922,
G01AE10,DB00795,1231643,
G01AE10,DB00887,1221960,
G01AE10,DB00808,1228423,
G01AE10,DB00436,1234016,
S01CC02,DB00328,1234001,
M01AB51,DB00328,1234001,
S01BC01,DB00328,1234001,
M02AA23,DB00328,1234001,
M01AB01,DB00328,1234001,
C01EB03,DB00328,1234001,
G01AE10,DB00482,1231958,
G01AE10,DB01098,1227117,
G01AE10,DB00695,1220619,
G01AE10,DB00669,1223922,
G01AE10,DB00795,1231643,
G01AE10,DB00887,1221960,
G01AE10,DB00808,1228423,
G01AE10,DB00436,1234016,
J01EE02,DB00440,1230975,
R01AD06,DB00443,1224169,
D07BC01,DB00443,1224169,
S01BA06,DB00443,1224169,
S01BB04,DB00443,1224169,
S01CB04,DB00443,1224169,
H02AB01,DB00443,1224169,
C05AA05,DB00443,1224169,
S03CA06,DB00443,1224169,
D07XC01,DB00443,1224169,
D07AC01,DB00443,1224169,
A07EA04,DB00443,1224169,
S02BA07,DB00443,1224169,
R03BA04,DB00443,1224169,
S03BA03,DB00443,1224169,
S01CA05,DB00443,1224169,
D07CC01,DB00443,1224169,
G01AE10,DB00482,1231958,
G01AE10,DB01098,1227117,
G01AE10,DB00695,1220619,
G01AE10,DB00669,1223922,
G01AE10,DB00795,1231643,
G01AE10,DB00887,1221960,
G01AE10,DB00808,1228423,
G01AE10,DB00436,1234016,
G01AE10,DB00482,1231958,
G01AE10,DB01098,1227117,
G01AE10,DB00695,1220619,
G01AE10,DB00669,1223922,
G01AE10,DB00795,1231643,
G01AE10,DB00887,1221960,
G01AE10,DB00808,1228423,
G01AE10,DB00436,1234016,
G03BA03,DB00624,1181227,
G03EA02,DB00624,1181227,
A07EA03,DB00635,1236710,
H02AB07,DB00635,1236710,
C09CA01,DB00678,1220787,
C09DA01,DB00678,1220787,
C09DB06,DB00381,1225161,
C09DB06,DB00678,1220787,
S01CB03,DB00741,1224652,
A01AC03,DB00741,1224652,
S01BA02,DB00741,1224652,
S01CA03,DB00741,1224652,
D07AA02,DB00741,1224652,
S01BB01,DB00741,1224652,
D07XA01,DB00741,1224652,
D07BA04,DB00741,1224652,
S02CA03,DB00741,1224652,
A07EA02,DB00741,1224652,
S02BA01,DB00741,1224652,
R01AD60,DB00741,1224652,
H02AB09,DB00741,1224652,
D07CA01,DB00741,1224652,
S03CA04,DB00741,1224652,
C05AA01,DB00741,1224652,
M01AB08,DB00749,1220272,
M01AC56,DB00814,1219332,
M01AC06,DB00814,1219332,
N05BA01,DB00829,1235241,
G01AE10,DB00482,1231958,
G01AE10,DB01098,1227117,
G01AE10,DB00695,1220619,
G01AE10,DB00669,1223922,
G01AE10,DB00795,1231643,
G01AE10,DB00887,1221960,
G01AE10,DB00808,1228423,
G01AE10,DB00436,1234016,
G01AE10,DB00482,1231958,
G01AE10,DB01098,1227117,
G01AE10,DB00695,1220619,
G01AE10,DB00669,1223922,
G01AE10,DB00795,1231643,
G01AE10,DB00887,1221960,
G01AE10,DB00808,1228423,
G01AE10,DB00436,1234016,
A02BD11,DB00213,1226619,
A02BD11,DB01060,1230235,
A02BD03,DB00448,1222030,
A02BD03,DB01060,1230235,
A02BD01,DB00338,1226453,
A02BD01,DB01060,1230235,
A02BD15,DB01060,1230235,
A02BD02,DB00448,1222030,
A02BD13,DB01060,1230235,
C07FX04,DB00612,1239972,
C10BX04,DB00641,1233490,
C10BX04,DB00178,1226031,
C10BX02,DB00175,1232243,
